Date,Bee_color,Nest_Number,Time_Entered,Time_Exited,Time_Entered_fixed,Time_Exited_fixed,Time_Entered_dt,Time_Exited_dt,Duration_minutes,ground_temperature_F
2025-06-23,OW,13,1:10,1:16,1:10 PM,1:16 PM,2025-06-23T13:10:00Z,2025-06-23T13:16:00Z,6,93
2025-06-23,unknown,19,9:24,9:30,9:24 AM,9:30 AM,2025-06-23T09:24:00Z,2025-06-23T09:30:00Z,6,77
2025-06-23,unknown,27,11:24,11:29,11:24 AM,11:29 AM,2025-06-23T11:24:00Z,2025-06-23T11:29:00Z,5,86
2025-06-23,unknown,32,11:36,12:25,11:36 AM,12:25 PM,2025-06-23T11:36:00Z,2025-06-23T12:25:00Z,49,95
2025-06-23,unknown,27,12:49,12:57,12:49 PM,12:57 PM,2025-06-23T12:49:00Z,2025-06-23T12:57:00Z,8,95
2025-06-23,unknown,18,1:00,1:02,1:00 PM,1:02 PM,2025-06-23T13:00:00Z,2025-06-23T13:02:00Z,2,93
2025-06-23,GY,20,9:27,9:47,9:27 AM,9:47 AM,2025-06-23T09:27:00Z,2025-06-23T09:47:00Z,20,84
2025-06-23,BO,33,9:44,9:49,9:44 AM,9:49 AM,2025-06-23T09:44:00Z,2025-06-23T09:49:00Z,5,84
2025-06-23,BO,33,12:00,12:07,12:00 PM,12:07 PM,2025-06-23T12:00:00Z,2025-06-23T12:07:00Z,7,93
2025-06-23,BO,33,12:38,12:44,12:38 PM,12:44 PM,2025-06-23T12:38:00Z,2025-06-23T12:44:00Z,6,95
2025-06-23,PY,29,9:44,9:49,9:44 AM,9:49 AM,2025-06-23T09:44:00Z,2025-06-23T09:49:00Z,5,84
2025-06-23,PY,29,12:05,12:07,12:05 PM,12:07 PM,2025-06-23T12:05:00Z,2025-06-23T12:07:00Z,2,93
2025-06-23,GO,34,9:55,9:58,9:55 AM,9:58 AM,2025-06-23T09:55:00Z,2025-06-23T09:58:00Z,3,84
2025-06-23,GP,12,10:36,10:43,10:36 AM,10:43 AM,2025-06-23T10:36:00Z,2025-06-23T10:43:00Z,7,82
