datetime,ground_temperature_F,date_only
2025-06-30T12:15:00Z,77,2025-06-30
2025-06-30T12:25:00Z,78,2025-06-30
2025-06-30T12:35:00Z,78,2025-06-30
2025-06-30T12:45:00Z,78,2025-06-30
2025-06-30T12:55:00Z,80,2025-06-30
2025-06-30T13:05:00Z,82,2025-06-30
2025-06-30T13:15:00Z,84,2025-06-30
2025-06-30T13:25:00Z,84,2025-06-30
2025-06-30T13:35:00Z,86,2025-06-30
2025-07-01T11:35:00Z,77,2025-07-01
2025-07-01T11:45:00Z,78,2025-07-01
2025-07-01T11:55:00Z,82,2025-07-01
2025-07-01T12:05:00Z,84,2025-07-01
2025-07-01T12:15:00Z,84,2025-07-01
2025-07-01T12:25:00Z,86,2025-07-01
2025-07-01T12:35:00Z,86,2025-07-01
2025-07-01T12:45:00Z,87,2025-07-01
2025-07-01T12:55:00Z,87,2025-07-01
2025-07-01T13:05:00Z,86,2025-07-01
2025-07-01T13:15:00Z,86,2025-07-01
2025-07-01T13:25:00Z,84,2025-07-01
2025-07-01T13:35:00Z,82,2025-07-01
2025-07-01T13:45:00Z,84,2025-07-01
2025-07-01T13:55:00Z,84,2025-07-01
2025-07-01T14:05:00Z,84,2025-07-01
2025-07-01T14:15:00Z,84,2025-07-01
2025-07-01T14:25:00Z,82,2025-07-01
2025-07-01T14:35:00Z,84,2025-07-01
2025-07-01T14:45:00Z,84,2025-07-01
2025-07-01T14:55:00Z,84,2025-07-01
2025-07-02T11:55:00Z,77,2025-07-02
2025-07-02T12:05:00Z,80,2025-07-02
2025-07-02T12:15:00Z,84,2025-07-02
2025-07-02T12:25:00Z,86,2025-07-02
2025-07-02T12:35:00Z,87,2025-07-02
2025-07-02T12:45:00Z,87,2025-07-02
2025-07-02T12:55:00Z,87,2025-07-02
2025-07-02T13:05:00Z,89,2025-07-02
2025-07-03T11:55:00Z,75,2025-07-03
2025-07-03T12:05:00Z,82,2025-07-03
2025-07-03T12:15:00Z,86,2025-07-03
2025-07-03T12:25:00Z,86,2025-07-03
2025-07-03T12:35:00Z,86,2025-07-03
2025-07-03T12:45:00Z,86,2025-07-03
2025-07-03T12:55:00Z,86,2025-07-03
2025-07-03T13:05:00Z,87,2025-07-03
2025-07-03T13:15:00Z,87,2025-07-03
2025-07-03T13:25:00Z,89,2025-07-03
2025-07-03T13:35:00Z,89,2025-07-03
2025-07-03T13:45:00Z,89,2025-07-03
2025-07-03T13:55:00Z,89,2025-07-03
2025-07-03T14:05:00Z,91,2025-07-03
2025-07-03T14:15:00Z,91,2025-07-03
2025-07-03T14:25:00Z,91,2025-07-03
