Date,Time Entered,Time Exited,bee_exit_datetime,datetime_ground_temp,ground_temperature_F,time_diff_secs,station,ws_datetime,tmpf,relh,skyc1,ws_time_diff_secs
2025-06-18,10:45,11:22,2025-06-18T11:22:00Z,2025-06-18T11:25:00Z,87,1740,SBA,2025-06-18T10:53:00Z,69,70.49,CLR,1740
2025-06-18,11:36,11:39,2025-06-18T11:39:00Z,2025-06-18T11:35:00Z,87,840,SBA,2025-06-18T11:53:00Z,70,61.15,CLR,840
2025-06-18,11:42,11:44,2025-06-18T11:44:00Z,2025-06-18T11:45:00Z,89,540,SBA,2025-06-18T11:53:00Z,70,61.15,CLR,540
2025-06-18,11:55,11:58,2025-06-18T11:58:00Z,2025-06-18T11:55:00Z,89,300,SBA,2025-06-18T11:53:00Z,70,61.15,CLR,300
2025-06-18,12:04,12:13,2025-06-18T12:13:00Z,2025-06-18T12:15:00Z,93,1200,SBA,2025-06-18T11:53:00Z,70,61.15,CLR,1200
2025-06-18,12:16,12:18,2025-06-18T12:18:00Z,2025-06-18T12:15:00Z,93,1500,SBA,2025-06-18T11:53:00Z,70,61.15,CLR,1500
2025-06-18,12:22,12:23,2025-06-18T12:23:00Z,2025-06-18T12:25:00Z,93,1800,SBA,2025-06-18T11:53:00Z,70,61.15,CLR,1800
2025-06-18,12:22,12:26,2025-06-18T12:26:00Z,2025-06-18T12:25:00Z,93,1620,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,1620
2025-06-18,11:39,12:28,2025-06-18T12:28:00Z,2025-06-18T12:25:00Z,93,1500,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,1500
2025-06-18,12:26,12:30,2025-06-18T12:30:00Z,2025-06-18T12:25:00Z,93,1380,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,1380
2025-06-18,12:37,12:43,2025-06-18T12:43:00Z,2025-06-18T12:45:00Z,93,600,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,600
2025-06-18,12:43,12:46,2025-06-18T12:46:00Z,2025-06-18T12:45:00Z,93,420,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,420
2025-06-18,12:50,12:53,2025-06-18T12:53:00Z,2025-06-18T12:55:00Z,95,0,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,0
2025-06-18,12:46,12:58,2025-06-18T12:58:00Z,2025-06-18T12:55:00Z,95,300,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,300
2025-06-18,1:03,1:05,2025-06-18T13:05:00Z,2025-06-18T13:05:00Z,93,720,SBA,2025-06-18T12:53:00Z,74,51.52,CLR,720
2025-06-23,N/A,9:04,2025-06-23T09:04:00Z,2025-06-23T09:25:00Z,77,660,SBA,2025-06-23T08:53:00Z,65,72.64,CLR,660
2025-06-23,N/A,9:15,2025-06-23T09:15:00Z,2025-06-23T09:25:00Z,77,1320,SBA,2025-06-23T08:53:00Z,65,72.64,CLR,1320
